Species,Polistes_canadensis_canadensis,Polistes_fuscatus,Polistes_dominula,Vespa_crabro,Vespa_velutina,Vespula_pensylvanica,Osmia_bicornis_bicornis,Osmia_lignaria,Megachile_rotundata,Bombus_vancouverensis_nearcticus,Bombus_vosnesenskii,Formica_exsecta,Nylanderia_fulva,Camponotus_floridanus,Monomorium_pharaonis,Pogonomyrmex_barbatus,Ooceraea_biroi,Chelonus_insularis,Microplitis_demolitor,Aphidius_gifuensis,Neodiprion_fabricii,Neodiprion_virginiana,Diprion_similis,Athalia_rosae,Aethina_tumida,Tribolium_madens,Anoplophora_glabripennis,Diabrotica_virgifera_virgifera,Anthonomus_grandis_grandis,Dendroctonus_ponderosae,Platypus_cylindrus*,Agrilus_planipennis,Drosophila_mauritiana,Drosophila_simulans,Drosophila_melanogaster,Drosophila_erecta,Drosophila_yakuba,Drosophila_subpulchrella,Drosophila_pseudoobscura,Lucilia_cuprina,Cryptotermes_secundus,Zootermopsis_nevadensis,Blattella_germanica*,Schistocera_nitens,Schistocera_serialis,Schistocera_gregaria,Ischnura_elegans,Pantala_flavescens*
Bombus_vosnesenskii,1.927332766,1.927332766,1.92733277,1.927332763,1.927332763,1.927332765,-1.917138163,-1.917138163,-1.917138164,-12.22362609,0,-1.46967077,-1.46967077,-1.469670777,-1.469670772,-1.469670772,-1.469670772,16.75642513,16.75642514,16.75642513,-7.676331357,-7.676331357,-7.676331358,-7.67633136,50.84013255,50.84013255,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453323,5.638453323,5.638453323,5.638453322,5.638453322,5.638453324,5.638453325,5.63845332,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,-4.85E-09,-4.85E-09
Formica_exsecta,-1.469670775,-1.469670775,-1.46967077,-1.469670778,-1.469670778,-1.469670775,-1.469670774,-1.469670774,-1.469670774,-1.46967077,-1.46967077,0,-4.17909713,-3.834271223,3.988126476,3.988126476,2.680061672,16.75642514,16.75642514,16.75642513,-7.676331353,-7.676331353,-7.676331353,-7.676331356,50.84013256,50.84013256,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453328,5.638453328,5.638453328,5.638453327,5.638453327,5.638453328,5.63845333,5.638453325,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,-4.96E-10,-4.96E-10
Nylanderia_fulva,-1.469670775,-1.469670775,-1.46967077,-1.469670778,-1.469670778,-1.469670775,-1.469670774,-1.469670774,-1.469670774,-1.46967077,-1.46967077,-4.17909713,0,-3.834271223,3.988126476,3.988126476,2.680061672,16.75642514,16.75642514,16.75642513,-7.676331353,-7.676331353,-7.676331353,-7.676331356,50.84013256,50.84013256,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453328,5.638453328,5.638453328,5.638453327,5.638453327,5.638453328,5.63845333,5.638453325,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,-4.96E-10,-4.96E-10
Camponotus_floridanus,-1.469670782,-1.469670782,-1.469670778,-1.469670785,-1.469670785,-1.469670783,-1.469670781,-1.469670781,-1.469670782,-1.469670777,-1.469670777,-3.834271223,-3.834271223,0,3.988126469,3.988126469,2.680061665,16.75642513,16.75642514,16.75642513,-7.67633136,-7.67633136,-7.676331361,-7.676331363,50.84013255,50.84013255,50.84013254,50.84013254,50.84013255,50.84013255,50.84013255,50.84013254,5.638453321,5.638453321,5.638453321,5.63845332,5.63845332,5.638453321,5.638453323,5.638453318,53.73437847,53.73437847,53.73437849,53.7343785,53.7343785,53.7343785,-7.50E-09,-7.50E-09
Monomorium_pharaonis,-1.469670777,-1.469670777,-1.469670773,-1.46967078,-1.46967078,-1.469670778,-1.469670776,-1.469670776,-1.469670777,-1.469670772,-1.469670772,3.988126476,3.988126476,3.988126469,0,1.37585426,2.68006167,16.75642514,16.75642514,16.75642513,-7.676331355,-7.676331355,-7.676331356,-7.676331358,50.84013256,50.84013256,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453326,5.638453326,5.638453326,5.638453325,5.638453325,5.638453326,5.638453328,5.638453323,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,-2.50E-09,-2.50E-09
Pogonomyrmex_barbatus,-1.469670777,-1.469670777,-1.469670773,-1.46967078,-1.46967078,-1.469670778,-1.469670776,-1.469670776,-1.469670777,-1.469670772,-1.469670772,3.988126476,3.988126476,3.988126469,1.37585426,0,2.68006167,16.75642514,16.75642514,16.75642513,-7.676331355,-7.676331355,-7.676331356,-7.676331358,50.84013256,50.84013256,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453326,5.638453326,5.638453326,5.638453325,5.638453325,5.638453326,5.638453328,5.638453323,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,-2.50E-09,-2.50E-09
Ooceraea_biroi,-1.469670777,-1.469670777,-1.469670773,-1.46967078,-1.46967078,-1.469670778,-1.469670776,-1.469670776,-1.469670777,-1.469670772,-1.469670772,2.680061672,2.680061672,2.680061665,2.68006167,2.68006167,0,16.75642514,16.75642514,16.75642513,-7.676331355,-7.676331355,-7.676331356,-7.676331358,50.84013256,50.84013256,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453326,5.638453326,5.638453326,5.638453325,5.638453325,5.638453326,5.638453328,5.638453323,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,-2.50E-09,-2.50E-09
Chelonus_insularis,16.75642513,16.75642513,16.75642513,16.75642513,16.75642513,16.75642513,16.75642513,16.75642513,16.75642513,16.75642513,16.75642513,16.75642514,16.75642514,16.75642513,16.75642514,16.75642514,16.75642514,0,12.65381926,14.67035583,-7.67633135,-7.67633135,-7.67633135,-7.676331353,50.84013256,50.84013256,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453331,5.638453331,5.638453331,5.63845333,5.63845333,5.638453331,5.638453332,5.638453328,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,2.50395E-09,2.50395E-09
Microplitis_demolitor,16.75642513,16.75642513,16.75642514,16.75642513,16.75642513,16.75642513,16.75642513,16.75642513,16.75642513,16.75642514,16.75642514,16.75642514,16.75642514,16.75642514,16.75642514,16.75642514,16.75642514,12.65381926,0,14.67035583,-7.676331345,-7.676331345,-7.676331345,-7.676331348,50.84013257,50.84013257,50.84013256,50.84013256,50.84013257,50.84013257,50.84013257,50.84013256,5.638453336,5.638453336,5.638453336,5.638453335,5.638453335,5.638453336,5.638453337,5.638453332,53.73437849,53.73437849,53.73437851,53.73437852,53.73437852,53.73437852,7.50396E-09,7.50396E-09
Aphidius_gifuensis,16.75642512,16.75642512,16.75642513,16.75642512,16.75642512,16.75642512,16.75642512,16.75642512,16.75642512,16.75642513,16.75642513,16.75642513,16.75642513,16.75642513,16.75642513,16.75642513,16.75642513,14.67035583,14.67035583,0,-7.676331355,-7.676331355,-7.676331356,-7.676331358,50.84013256,50.84013256,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453326,5.638453326,5.638453326,5.638453325,5.638453325,5.638453326,5.638453328,5.638453323,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,-2.50E-09,-2.50E-09
Neodiprion_fabricii,-7.676331361,-7.676331361,-7.676331357,-7.676331365,-7.676331365,-7.676331362,-7.67633136,-7.67633136,-7.676331361,-7.676331357,-7.676331357,-7.676331353,-7.676331353,-7.67633136,-7.676331355,-7.676331355,-7.676331355,-7.67633135,-7.676331345,-7.676331355,0,-0.565253206,15.05358942,-7.892857527,50.84013256,50.84013256,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453326,5.638453326,5.638453326,5.638453325,5.638453325,5.638453326,5.638453328,5.638453323,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,-2.00E-09,-2.00E-09
Neodiprion_virginiana,-7.676331361,-7.676331361,-7.676331357,-7.676331365,-7.676331365,-7.676331362,-7.67633136,-7.67633136,-7.676331361,-7.676331357,-7.676331357,-7.676331353,-7.676331353,-7.67633136,-7.676331355,-7.676331355,-7.676331355,-7.67633135,-7.676331345,-7.676331355,-0.565253206,0,15.05358942,-7.892857527,50.84013256,50.84013256,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453326,5.638453326,5.638453326,5.638453325,5.638453325,5.638453326,5.638453328,5.638453323,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,-2.00E-09,-2.00E-09
Diprion_similis,-7.676331362,-7.676331362,-7.676331358,-7.676331366,-7.676331366,-7.676331363,-7.676331361,-7.676331361,-7.676331362,-7.676331358,-7.676331358,-7.676331353,-7.676331353,-7.676331361,-7.676331356,-7.676331356,-7.676331356,-7.67633135,-7.676331345,-7.676331356,15.05358942,15.05358942,0,-7.892857528,50.84013256,50.84013256,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453325,5.638453325,5.638453325,5.638453324,5.638453324,5.638453326,5.638453327,5.638453322,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,-3.00E-09,-3.00E-09
Athalia_rosae,-7.676331364,-7.676331364,-7.67633136,-7.676331368,-7.676331368,-7.676331365,-7.676331364,-7.676331364,-7.676331364,-7.67633136,-7.67633136,-7.676331356,-7.676331356,-7.676331363,-7.676331358,-7.676331358,-7.676331358,-7.676331353,-7.676331348,-7.676331358,-7.892857527,-7.892857527,-7.892857528,0,50.84013255,50.84013255,50.84013255,50.84013255,50.84013256,50.84013256,50.84013256,50.84013255,5.638453323,5.638453323,5.638453323,5.638453322,5.638453322,5.638453324,5.638453325,5.63845332,53.73437848,53.73437848,53.7343785,53.73437851,53.73437851,53.73437851,-5.00E-09,-5.00E-09
