"","Aphidius_gifuensis","Chelonus_insularis","Microplitis_demolitor","Bombus_vancouverensis_nearcticus","Bombus_vosnesenskii","Megachile_rotundata","Osmia_bicornis","Osmia_lignaria","Polistes_canadensis_canadensis","Polistes_fuscatus","Polistes_dominula","Vespa_crabro","Vespa_velutina","Vespula_pensylvanica","Camponotus_floridanus","Formica_exsecta","Nylanderia_fulva","Monomorium_pharaonis","Pogonomyrmex_barbatus","Ooceraea_biroi","Athalia_rosa","Diprion_similis","Neodiprion_fabricii","Neodiprion_virginiana","Aethina_tumida","Tribolium_madens","Anoplophora_glabripennis","Diabrotica_virgifera_virgifera","Anthonomus_grandis","Dendroctonus_ponderosae","Platypus_cylindrus","Agrilus_planipennis","Drosophila_subpulchrella","Drosophila_erecta","Drosophila_yakuba","Drosophila_mauritiana","Drosophila_simulans","Drosophila_melanogaster","Drosophila_pseudoobscura","Lucilia_cuprina","Blattella_germanica","Cryptotermes_secundus","Zootermopsis_nevadensis","Schistocerca_nitens","Schistocerca_serialis","Schistocerca_gregaria","Ischnura_elegans","Pantala_flavescens"
"Ooceraea_biroi",118.458372145,118.45837214,118.45837214,99.79649771,99.79649771,99.796497714,99.796497714,99.796497714,99.7964977135,99.7964977135,99.79649771,99.796497715,99.796497715,99.796497715,49.13607977,49.1360797675,49.1360797675,49.13607977,49.13607977,0,150.62043474,150.620434738,150.620434738,150.620434738,176.11218958,176.11218958,176.112189585,176.112189585,176.112189575,176.112189575,176.11218958,176.112189595,221.313868795,221.313868794,221.313868794,221.313868795,221.313868795,221.313868795,221.313868795,221.313868795,247.85228619,247.852286205,247.852286205,247.85228619,247.85228619,247.85228619,401.000000004994,401.000000004994
"Athalia_rosa",150.620434735,150.62043473,150.62043473,150.62043474,150.62043474,150.620434744,150.620434744,150.620434744,150.6204347435,150.6204347435,150.62043474,150.620434745,150.620434745,150.620434745,150.62043474,150.6204347375,150.6204347375,150.62043474,150.62043474,150.62043474,0,78.788939308,78.788939308,78.788939308,176.11218958,176.11218958,176.112189585,176.112189585,176.112189575,176.112189575,176.11218958,176.112189595,221.313868795,221.313868794,221.313868794,221.313868795,221.313868795,221.313868795,221.313868795,221.313868795,247.85228619,247.852286205,247.852286205,247.85228619,247.85228619,247.85228619,401.000000004994,401.000000004994
"Diprion_similis",150.620434733,150.620434728,150.620434728,150.620434738,150.620434738,150.620434742,150.620434742,150.620434742,150.6204347415,150.6204347415,150.620434738,150.620434743,150.620434743,150.620434743,150.620434738,150.6204347355,150.6204347355,150.620434738,150.620434738,150.620434738,78.788939308,0,5.552042656,5.552042656,176.112189578,176.112189578,176.112189583,176.112189583,176.112189573,176.112189573,176.112189578,176.112189593,221.313868793,221.313868792,221.313868792,221.313868793,221.313868793,221.313868793,221.313868793,221.313868793,247.852286188,247.852286203,247.852286203,247.852286188,247.852286188,247.852286188,401.000000002994,401.000000002994
"Neodiprion_fabricii",150.620434733,150.620434728,150.620434728,150.620434738,150.620434738,150.620434742,150.620434742,150.620434742,150.6204347415,150.6204347415,150.620434738,150.620434743,150.620434743,150.620434743,150.620434738,150.6204347355,150.6204347355,150.620434738,150.620434738,150.620434738,78.788939308,5.552042656,0,3.429354188,176.112189578,176.112189578,176.112189583,176.112189583,176.112189573,176.112189573,176.112189578,176.112189593,221.313868793,221.313868792,221.313868792,221.313868793,221.313868793,221.313868793,221.313868793,221.313868793,247.852286188,247.852286203,247.852286203,247.852286188,247.852286188,247.852286188,401.000000002994,401.000000002994
"Neodiprion_virginiana",150.620434733,150.620434728,150.620434728,150.620434738,150.620434738,150.620434742,150.620434742,150.620434742,150.6204347415,150.6204347415,150.620434738,150.620434743,150.620434743,150.620434743,150.620434738,150.6204347355,150.6204347355,150.620434738,150.620434738,150.620434738,78.788939308,5.552042656,3.429354188,0,176.112189578,176.112189578,176.112189583,176.112189583,176.112189573,176.112189573,176.112189578,176.112189593,221.313868793,221.313868792,221.313868792,221.313868793,221.313868793,221.313868793,221.313868793,221.313868793,247.852286188,247.852286203,247.852286203,247.852286188,247.852286188,247.852286188,401.000000002994,401.000000002994
"Aethina_tumida",176.112189575,176.11218957,176.11218957,176.11218958,176.11218958,176.112189584,176.112189584,176.112189584,176.1121895835,176.1121895835,176.11218958,176.112189585,176.112189585,176.112189585,176.11218958,176.1121895775,176.1121895775,176.11218958,176.11218958,176.11218958,176.11218958,176.112189578,176.112189578,176.112189578,0,75.25681864,94.112342555,94.112342555,118.912738905,118.912738905,118.91273891,139.839507285,221.313868795,221.313868794,221.313868794,221.313868795,221.313868795,221.313868795,221.313868795,221.313868795,247.85228619,247.852286205,247.852286205,247.85228619,247.85228619,247.85228619,401.000000004994,401.000000004994
"Tribolium_madens",176.112189575,176.11218957,176.11218957,176.11218958,176.11218958,176.112189584,176.112189584,176.112189584,176.1121895835,176.1121895835,176.11218958,176.112189585,176.112189585,176.112189585,176.11218958,176.1121895775,176.1121895775,176.11218958,176.11218958,176.11218958,176.11218958,176.112189578,176.112189578,176.112189578,75.25681864,0,94.112342555,94.112342555,118.912738905,118.912738905,118.91273891,139.839507285,221.313868795,221.313868794,221.313868794,221.313868795,221.313868795,221.313868795,221.313868795,221.313868795,247.85228619,247.852286205,247.852286205,247.85228619,247.85228619,247.85228619,401.000000004994,401.000000004994
"Anoplophora_glabripennis",176.11218958,176.112189575,176.112189575,176.112189585,176.112189585,176.112189589,176.112189589,176.112189589,176.1121895885,176.1121895885,176.112189585,176.11218959,176.11218959,176.11218959,176.112189585,176.1121895825,176.1121895825,176.112189585,176.112189585,176.112189585,176.112189585,176.112189583,176.112189583,176.112189583,94.112342555,94.112342555,0,79.60532597,118.91273891,118.91273891,118.912738915,139.83950729,221.3138688,221.313868799,221.313868799,221.3138688,221.3138688,221.3138688,221.3138688,221.3138688,247.852286195,247.85228621,247.85228621,247.852286195,247.852286195,247.852286195,401.000000009994,401.000000009994
"Diabrotica_virgifera_virgifera",176.11218958,176.112189575,176.112189575,176.112189585,176.112189585,176.112189589,176.112189589,176.112189589,176.1121895885,176.1121895885,176.112189585,176.11218959,176.11218959,176.11218959,176.112189585,176.1121895825,176.1121895825,176.112189585,176.112189585,176.112189585,176.112189585,176.112189583,176.112189583,176.112189583,94.112342555,94.112342555,79.60532597,0,118.91273891,118.91273891,118.912738915,139.83950729,221.3138688,221.313868799,221.313868799,221.3138688,221.3138688,221.3138688,221.3138688,221.3138688,247.852286195,247.85228621,247.85228621,247.852286195,247.852286195,247.852286195,401.000000009994,401.000000009994
"Anthonomus_grandis",176.11218957,176.112189565,176.112189565,176.112189575,176.112189575,176.112189579,176.112189579,176.112189579,176.1121895785,176.1121895785,176.112189575,176.11218958,176.11218958,176.11218958,176.112189575,176.1121895725,176.1121895725,176.112189575,176.112189575,176.112189575,176.112189575,176.112189573,176.112189573,176.112189573,118.912738905,118.912738905,118.91273891,118.91273891,0,77.3986594,99.894628335,139.83950728,221.31386879,221.313868789,221.313868789,221.31386879,221.31386879,221.31386879,221.31386879,221.31386879,247.852286185,247.8522862,247.8522862,247.852286185,247.852286185,247.852286185,400.999999999994,400.999999999994
